Case,Algorithm,Cost,Expanded,Time
easy_1,BFS,18,382,0.00733
easy_1,UCS,18,382,0.00101
easy_1,GBFS-Manhattan,18,382,0.0
easy_1,GBFS-Landmark,18,382,0.0
easy_1,A*-Manhattan,18,211,0.0
easy_1,A*-Landmark,18,211,0.0
easy_2,BFS,14,127,0.00968
easy_2,UCS,14,127,0.0
easy_2,GBFS-Manhattan,14,127,0.0009
easy_2,GBFS-Landmark,14,127,0.00188
easy_2,A*-Manhattan,14,88,0.0
easy_2,A*-Landmark,14,88,0.00129
medium_1,BFS,62,3116,0.02442
medium_1,UCS,62,3116,0.01616
medium_1,GBFS-Manhattan,62,3116,0.016
medium_1,GBFS-Landmark,62,3116,0.02316
medium_1,A*-Manhattan,62,2243,0.00889
medium_1,A*-Landmark,62,2243,0.0084
medium_2,BFS,38,1253,0.01762
medium_2,UCS,38,1253,0.0
medium_2,GBFS-Manhattan,38,1253,0.01536
medium_2,GBFS-Landmark,38,1253,0.01165
medium_2,A*-Manhattan,38,659,0.00456
medium_2,A*-Landmark,38,659,0.00449
hard_1,BFS,138,25258,0.21485
hard_1,UCS,138,25258,0.14385
hard_1,GBFS-Manhattan,138,25189,0.16824
hard_1,GBFS-Landmark,138,25189,0.20243
hard_1,A*-Manhattan,138,18158,0.10655
hard_1,A*-Landmark,138,18158,0.14697
hard_2,BFS,inf,3444,0.02051
hard_2,UCS,inf,3444,0.02714
hard_2,GBFS-Manhattan,inf,3444,0.02972
hard_2,GBFS-Landmark,inf,3444,0.02575
hard_2,A*-Manhattan,inf,3482,0.01438
hard_2,A*-Landmark,inf,3482,0.03049
energy_1,BFS,inf,273,0.0
energy_1,UCS,inf,273,0.00201
energy_1,GBFS-Manhattan,inf,1,0.0
energy_1,GBFS-Landmark,inf,1,0.0
energy_1,A*-Manhattan,inf,1,0.0
energy_1,A*-Landmark,inf,1,0.0
energy_2,BFS,38,787,0.00532
energy_2,UCS,38,787,0.00873
energy_2,GBFS-Manhattan,38,519,0.00331
energy_2,GBFS-Landmark,38,519,0.0027
energy_2,A*-Manhattan,38,499,0.002
energy_2,A*-Landmark,38,499,0.00375
