Case,Algorithm,Cost,Expanded,Time
easy_1,BFS,18,1416,0.0
easy_1,UCS,18,1416,0.0
easy_1,GBFS-Manhattan,40,3019,0.03003
easy_1,GBFS-Landmark,40,3019,0.01479
easy_1,A*-Manhattan,18,211,0.0
easy_1,A*-Landmark,18,211,0.0
easy_2,BFS,14,443,0.0
easy_2,UCS,14,443,0.0156
easy_2,GBFS-Manhattan,22,313,0.00201
easy_2,GBFS-Landmark,22,313,0.003
easy_2,A*-Manhattan,14,88,0.0
easy_2,A*-Landmark,14,88,0.001
medium_1,BFS,62,42074,0.17893
medium_1,UCS,62,42074,0.2528
medium_1,GBFS-Manhattan,88,43543,0.31717
medium_1,GBFS-Landmark,88,43543,0.34455
medium_1,A*-Manhattan,62,16807,0.13287
medium_1,A*-Landmark,62,16807,0.16942
medium_2,BFS,38,8876,0.06091
medium_2,UCS,38,8876,0.05359
medium_2,GBFS-Manhattan,94,19240,0.11452
medium_2,GBFS-Landmark,94,19240,0.13747
medium_2,A*-Manhattan,38,659,0.00404
medium_2,A*-Landmark,38,659,0.00375
hard_1,BFS,138,715441,3.74616
hard_1,UCS,138,715441,5.44521
hard_1,GBFS-Manhattan,200,505063,3.36793
hard_1,GBFS-Landmark,200,505063,4.19613
hard_1,A*-Manhattan,138,293905,2.28943
hard_1,A*-Landmark,138,293905,2.78454
hard_2,BFS,inf,188282,0.85478
hard_2,UCS,inf,188282,1.17472
hard_2,GBFS-Manhattan,inf,139178,0.79673
hard_2,GBFS-Landmark,inf,139178,0.9254
hard_2,A*-Manhattan,inf,139178,0.90865
hard_2,A*-Landmark,inf,139178,1.1588
energy_1,BFS,inf,1014,0.00516
energy_1,UCS,inf,1014,0.006
energy_1,GBFS-Manhattan,inf,1,0.0
energy_1,GBFS-Landmark,inf,1,0.0
energy_1,A*-Manhattan,inf,1,0.0
energy_1,A*-Landmark,inf,1,0.0
energy_2,BFS,38,5983,0.01866
energy_2,UCS,38,5983,0.04586
energy_2,GBFS-Manhattan,40,396,0.002
energy_2,GBFS-Landmark,40,396,0.00199
energy_2,A*-Manhattan,38,499,0.003
energy_2,A*-Landmark,38,499,0.003
