Case,Algorithm,Cost,Expanded,Time
easy_1,BFS,18,382,0.00351
easy_1,UCS,18,382,0.00302
easy_1,GBFS-Manhattan,18,19,0.0
easy_1,GBFS-Landmark,20,35,0.001
easy_1,A*-Manhattan,18,76,0.001
easy_1,A*-Landmark,18,102,0.0015
easy_2,BFS,14,127,0.001
easy_2,UCS,14,127,0.00101
easy_2,GBFS-Manhattan,14,15,0.0
easy_2,GBFS-Landmark,16,26,0.0
easy_2,A*-Manhattan,14,64,0.00053
easy_2,A*-Landmark,14,82,0.0
medium_1,BFS,62,3116,0.02105
medium_1,UCS,62,3116,0.02329
medium_1,GBFS-Manhattan,62,67,0.00102
medium_1,GBFS-Landmark,74,269,0.00505
medium_1,A*-Manhattan,62,957,0.00951
medium_1,A*-Landmark,62,3010,0.05329
medium_2,BFS,38,1253,0.01249
medium_2,UCS,38,1253,0.01236
medium_2,GBFS-Manhattan,38,40,0.001
medium_2,GBFS-Landmark,50,87,0.0015
medium_2,A*-Manhattan,38,241,0.0042
medium_2,A*-Landmark,38,336,0.00352
hard_1,BFS,138,25258,0.23002
hard_1,UCS,138,25258,0.28906
hard_1,GBFS-Manhattan,138,512,0.00905
hard_1,GBFS-Landmark,170,323,0.01464
hard_1,A*-Manhattan,138,4831,0.08198
hard_1,A*-Landmark,138,22182,0.56072
hard_2,BFS,inf,3444,0.03925
hard_2,UCS,inf,3444,0.03209
hard_2,GBFS-Manhattan,0,52089,0.87805
hard_2,GBFS-Landmark,0,6481,0.08879
hard_2,A*-Manhattan,0,6483,0.08805
hard_2,A*-Landmark,0,6481,0.09363
energy_1,BFS,inf,273,0.001
energy_1,UCS,inf,273,0.00201
energy_1,GBFS-Manhattan,0,928,0.00654
energy_1,GBFS-Landmark,0,1081,0.01334
energy_1,A*-Manhattan,0,1,0.0
energy_1,A*-Landmark,0,1,0.0
energy_2,BFS,38,996,0.00654
energy_2,UCS,38,996,0.00807
energy_2,GBFS-Manhattan,38,39,0.00201
energy_2,GBFS-Landmark,40,3533,0.05579
energy_2,A*-Manhattan,38,320,0.00351
energy_2,A*-Landmark,38,566,0.00651
